satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Somewhat satisfied,Very favorable,DK/Refused,Somewhat good,United States,1.7294209279018,3.0,1.0,,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.553371638445192,4.0,2.0,3.0,2.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,0.433026555070727,3.0,1.0,2.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,2.50764035767753,3.0,2.0,3.0,2.0
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.696392643821759,1.0,2.0,4.0,2.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Somewhat good,United States,0.868479755741037,6.0,2.0,4.0,2.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,0.912208777984171,6.0,2.0,3.0,2.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.466105715098417,6.0,1.0,3.0,2.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Very bad,United States,0.488992501282509,6.0,1.0,3.0,4.0
Very satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.462101590258486,1.0,1.0,3.0,1.0
Not at all satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,0.438207049728393,6.0,2.0,2.0,3.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.412719549901274,4.0,1.0,3.0,2.0
Very satisfied,Very favorable,Somewhat favorable,Very good,United States,0.46506072212488,1.0,1.0,2.0,1.0
Very satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.787144816392009,1.0,1.0,3.0,2.0
Very satisfied,Very favorable,Very unfavorable,Somewhat good,United States,0.912208777984171,1.0,1.0,4.0,2.0
Somewhat satisfied,Very favorable,DK/Refused,Very bad,United States,0.41405868748726,3.0,1.0,,4.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,United States,0.409785678774794,6.0,3.0,3.0,2.0
Very satisfied,Very favorable,Somewhat favorable,Somewhat good,United States,2.14519676013164,1.0,1.0,2.0,2.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.400879303256244,6.0,2.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,0.994730042712799,3.0,2.0,2.0,3.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,United States,0.840030440408956,4.0,2.0,3.0,3.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.678350463539593,4.0,1.0,3.0,2.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.704184148535893,4.0,1.0,3.0,2.0
Very satisfied,Very favorable,Very unfavorable,Very good,United States,1.20074637571956,1.0,1.0,4.0,1.0
Somewhat satisfied,Very favorable,Somewhat unfavorable,Somewhat good,United States,0.341481724395118,3.0,1.0,3.0,2.0
Very satisfied,Very favorable,Very unfavorable,Very good,United States,0.930801903833138,1.0,1.0,4.0,1.0
Somewhat satisfied,Somewhat favorable,DK/Refused,DK/Refused,United States,0.46449635104106,3.0,2.0,,
Not at all satisfied,Very favorable,DK/Refused,Somewhat bad,United States,0.455037920849689,6.0,1.0,,3.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,United States,0.656462712603677,3.0,2.0,2.0,3.0
Not at all satisfied,Very favorable,Very unfavorable,Very good,United States,0.796713285243811,6.0,1.0,4.0,1.0
Not too satisfied,Very favorable,Very unfavorable,Very good,United States,1.17363230874808,4.0,1.0,4.0,1.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,United States,0.655582124873874,3.0,2.0,2.0,2.0
Not at all satisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,United States,0.419417012260386,6.0,3.0,3.0,4.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,United States,1.43324959839447,6.0,2.0,3.0,2.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Very good,United States,0.61348526734981,6.0,1.0,3.0,1.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,United States,1.00382018142125,6.0,1.0,3.0,3.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat bad,United States,2.80540872363778,3.0,1.0,2.0,3.0
